mean_test_score,n_estimators,min_samples_split,max_depth,bootstrap
0.7692366972370817,230,6,55,False
0.7692366972370817,230,6,60,False
0.7692366972370817,230,6,50,False
0.7692241734365434,255,6,25,False
0.769188301762324,180,2,25,False
0.7691731804773083,150,6,35,False
0.7691318152281168,150,6,60,False
0.7691318152281168,150,6,40,False
0.7691318152281168,150,6,50,False
0.7691318152281168,150,6,45,False
0.7691318152281168,150,6,55,False
0.7691199032588363,170,2,25,False
0.7690122117856883,350,2,35,False
0.768955665325476,170,2,30,False
0.7689289986336869,160,6,30,False
0.7689165316936278,230,6,20,False
0.7688771968007736,350,2,60,False
0.7688771968007736,350,2,55,False
0.7688771968007736,350,2,50,False
0.7688771968007736,350,2,45,False
0.7688313426565053,350,2,40,False
0.768765040176701,160,6,35,False
0.7687261045455289,160,6,45,False
0.7687261045455289,160,6,40,False
0.7687261045455289,160,6,50,False
0.7687261045455289,160,6,55,False
0.7687261045455289,160,6,60,False
0.76868170238362,140,6,30,False
0.7686670799368696,270,2,35,False
0.7686560505289981,230,2,35,False
0.7686530597984932,150,6,20,False
0.7686391221981861,230,6,25,False
0.7686331969594513,350,10,20,False
0.7685991520386392,140,6,35,False
0.7685605887478961,180,2,30,False
0.7685562194015411,140,6,55,False
0.7685562194015411,140,6,40,False
0.7685562194015411,140,6,45,False
0.7685562194015411,140,6,60,False
0.7685562194015411,140,6,50,False
0.7685277810175748,200,6,30,False
0.7685017532787717,200,6,35,False
0.7684800321132041,160,6,20,False
0.7684698342656426,200,6,50,False
0.7684698342656426,200,6,45,False
0.7684698342656426,200,6,40,False
0.7684698342656426,200,6,55,False
0.7684698342656426,200,6,60,False
0.7684543147955505,150,2,35,False
0.7684258477319306,255,2,35,False
0.768409149634212,230,2,60,False
0.768409149634212,230,2,50,False
0.768409149634212,230,2,40,False
0.768409149634212,230,2,55,False
0.768409149634212,230,2,45,False
0.7684009595410777,270,2,55,False
0.7684009595410777,270,2,50,False
0.7684009595410777,270,2,60,False
0.7684009595410777,270,2,45,False
0.7684009595410777,270,2,40,False
0.7683939441795287,150,2,55,False
0.7683939441795287,150,2,60,False
0.7683939441795287,150,2,50,False
0.7683939441795287,150,2,40,False
0.7683939441795287,150,2,45,False
0.7682677803002265,325,2,35,False
0.7682365518625,140,10,20,False
0.7682233210947859,300,2,35,False
0.7681610777303195,255,2,45,False
0.7681610777303195,255,2,55,False
0.7681610777303195,255,2,40,False
0.7681610777303195,255,2,60,False
0.7681610777303195,255,2,50,False
0.7681573191894485,170,6,30,False
0.7681421492386808,325,2,50,False
0.7681421492386808,325,2,45,False
0.7681421492386808,325,2,55,False
0.7681421492386808,325,2,60,False
0.768092859484402,325,2,40,False
0.7680888745128012,300,2,60,False
0.7680888745128012,300,2,55,False
0.7680888745128012,300,2,50,False
0.7680888745128012,300,2,45,False
0.7680441550217966,160,2,35,False
0.7680357996277051,300,2,40,False
0.7679901778568519,170,6,35,False
0.7679506864809518,170,6,50,False
0.7679506864809518,170,6,55,False
0.7679506864809518,170,6,40,False
0.7679506864809518,170,6,60,False
0.7679506864809518,170,6,45,False
0.7679085245527008,160,2,55,False
0.7679085245527008,160,2,60,False
0.7679085245527008,160,2,40,False
0.7679085245527008,160,2,50,False
0.7679085245527008,160,2,45,False
0.7678724781681059,140,6,20,False
0.7678476418681196,150,10,20,False
0.7678395728582885,180,6,30,False
0.7678096913740338,140,2,35,False
0.7677730718556889,325,10,20,False
0.7677426977448722,140,2,50,False
0.7677426977448722,140,2,55,False
0.7677426977448722,140,2,40,False
0.7677426977448722,140,2,60,False
0.7677426977448722,140,2,45,False
0.7676698246120708,170,6,20,False
0.7676637503934147,180,6,35,False
0.7676263691706433,180,6,60,False
0.7676263691706433,180,6,55,False
0.7676263691706433,180,6,50,False
0.7676263691706433,180,6,40,False
0.7676263691706433,180,6,45,False
0.7676199657324092,255,10,20,False
0.7676186539622984,300,10,20,False
0.7675699358879602,150,6,25,False
0.7675497737589736,160,6,25,False
0.7675051895581309,200,2,35,False
0.7674588818362039,200,6,25,False
0.7674313977600734,350,10,25,False
0.767408142829742,350,10,35,False
0.767408142829742,350,10,55,False
0.767408142829742,350,10,50,False
0.767408142829742,350,10,45,False
0.767408142829742,350,10,60,False
0.767408142829742,350,10,40,False
0.767342166800878,140,6,25,False
0.7673077344966538,200,2,55,False
0.7673077344966538,200,2,60,False
0.7673077344966538,200,2,50,False
0.7673077344966538,200,2,45,False
0.7673077344966538,200,2,40,False
0.7672049901517892,170,2,35,False
0.7671761096755508,270,10,20,False
0.7671651756559502,170,2,40,False
0.7671651756559502,170,2,45,False
0.7671651756559502,170,2,55,False
0.7671651756559502,170,2,60,False
0.7671651756559502,170,2,50,False
0.7671571854948737,350,10,30,False
0.7671511621319874,150,10,50,False
0.7671511621319874,150,10,60,False
0.7671511621319874,150,10,45,False
0.7671511621319874,150,10,40,False
0.7671511621319874,150,10,55,False
0.7671511621319874,150,10,35,False
0.7670726851865786,255,10,25,False
0.7670160381645829,200,6,20,False
0.7669992035093884,230,10,20,False
0.7669898437637883,150,10,30,False
0.7669770942741676,140,10,40,False
0.7669770942741676,140,10,45,False
0.7669770942741676,140,10,55,False
0.7669770942741676,140,10,50,False
0.7669770942741676,140,10,35,False
0.7669770942741676,140,10,60,False
0.7669194925933527,160,10,20,False
0.7669156511322821,160,10,45,False
0.7669156511322821,160,10,50,False
0.7669156511322821,160,10,55,False
0.7669156511322821,160,10,40,False
0.7669156511322821,160,10,35,False
0.7669156511322821,160,10,60,False
0.7668838651386525,325,10,40,False
0.7668838651386525,325,10,35,False
0.7668838651386525,325,10,55,False
0.7668838651386525,325,10,60,False
0.7668838651386525,325,10,50,False
0.7668838651386525,325,10,45,False
0.7668780215710076,325,10,25,False
0.7668777394751245,255,10,35,False
0.7668777394751245,255,10,55,False
0.7668777394751245,255,10,40,False
0.7668777394751245,255,10,50,False
0.7668777394751245,255,10,60,False
0.7668777394751245,255,10,45,False
0.7668381255743967,180,6,20,False
0.7668278875351985,180,2,35,False
0.7668036798030092,140,10,30,False
0.7667919656598314,180,2,40,False
0.7667919656598314,180,2,50,False
0.7667919656598314,180,2,55,False
0.7667919656598314,180,2,45,False
0.7667919656598314,180,2,60,False
0.7667578154559354,160,10,30,False
0.7666961172030557,150,10,25,False
0.7666419165725362,325,10,30,False
0.7665197569330137,255,10,30,False
0.7665162897972685,270,10,25,False
0.7664596877516748,230,10,25,False
0.7664441546741537,300,10,35,False
0.7664441546741537,300,10,55,False
0.7664441546741537,300,10,40,False
0.7664441546741537,300,10,50,False
0.7664441546741537,300,10,60,False
0.7664441546741537,300,10,45,False
0.76642943347632,170,6,25,False
0.7663512460699865,300,10,25,False
0.7663493767057832,270,10,40,False
0.7663493767057832,270,10,50,False
0.7663493767057832,270,10,60,False
0.7663493767057832,270,10,45,False
0.7663493767057832,270,10,55,False
0.7663493767057832,270,10,35,False
0.76634602401915,230,10,60,False
0.76634602401915,230,10,45,False
0.76634602401915,230,10,35,False
0.76634602401915,230,10,50,False
0.76634602401915,230,10,55,False
0.76634602401915,230,10,40,False
0.7663064554473766,160,10,25,False
0.7662416764574065,140,10,25,False
0.7661653420751308,300,10,30,False
0.7660327399935823,270,10,30,False
0.7659501602830703,230,10,30,False
0.7659189363948424,180,6,25,False
0.7657429450176005,200,10,20,False
0.7657010658363524,200,10,25,False
0.7656621163249049,150,2,15,False
0.7655897581150592,200,10,40,False
0.7655897581150592,200,10,50,False
0.7655897581150592,200,10,60,False
0.7655897581150592,200,10,55,False
0.7655897581150592,200,10,35,False
0.7655897581150592,200,10,45,False
0.7655283662075449,170,10,50,False
0.7655283662075449,170,10,45,False
0.7655283662075449,170,10,55,False
0.7655283662075449,170,10,40,False
0.7655283662075449,170,10,35,False
0.7655283662075449,170,10,60,False
0.7653241289432161,200,10,30,False
0.7652803359221844,170,10,20,False
0.7652267124630706,170,10,30,False
0.7650903038553334,180,10,20,False
0.7649844716516032,180,10,55,False
0.7649844716516032,180,10,35,False
0.7649844716516032,180,10,50,False
0.7649844716516032,180,10,60,False
0.7649844716516032,180,10,45,False
0.7649844716516032,180,10,40,False
0.7648503512598546,160,2,15,False
0.7647230285588418,140,2,15,False
0.764696586343328,180,10,30,False
0.764682280876841,170,10,25,False
0.7645755020614635,180,10,25,False
0.7644795656602987,230,2,15,False
0.7642414692001147,255,2,15,False
0.7641234246360125,350,2,15,False
0.7639314431626257,200,2,15,False
0.7637741352767002,270,2,15,False
0.7637243291650471,170,2,15,False
0.7634912787938491,300,2,15,False
0.7634709913693825,325,2,15,False
0.7630299000016705,180,2,15,False
0.7627250677975159,350,6,15,False
0.762456488996005,255,6,15,False
0.7624167360700478,325,6,15,False
0.7622440567271129,270,6,15,False
0.762233726476411,140,6,15,False
0.762232882634361,300,6,15,False
0.762000106704637,350,14,25,False
0.7619253724611225,150,6,15,False
0.761822349512804,350,14,55,False
0.761822349512804,350,14,35,False
0.761822349512804,350,14,45,False
0.761822349512804,350,14,60,False
0.761822349512804,350,14,50,False
0.761822349512804,350,14,40,False
0.7617158722646036,350,14,30,False
0.7615611154640634,350,14,20,False
0.7615496587881555,160,6,15,False
0.7615120382368256,230,6,15,False
0.7614252351397075,325,14,25,False
0.7611917448287873,255,14,25,False
0.7610948489272154,325,14,60,False
0.7610948489272154,325,14,35,False
0.7610948489272154,325,14,50,False
0.7610948489272154,325,14,55,False
0.7610948489272154,325,14,45,False
0.7610948489272154,325,14,40,False
0.7609395775420763,325,14,30,False
0.7608914895098506,255,14,60,False
0.7608914895098506,255,14,45,False
0.7608914895098506,255,14,35,False
0.7608914895098506,255,14,40,False
0.7608914895098506,255,14,55,False
0.7608914895098506,255,14,50,False
0.7608115831740514,300,14,25,False
0.7607947945644004,270,14,25,False
0.7607071957434416,170,6,15,False
0.760696970338471,255,14,30,False
0.7606621266035188,325,14,20,False
0.7605771725606915,300,14,20,False
0.7605757521808062,270,14,40,False
0.7605757521808062,270,14,60,False
0.7605757521808062,270,14,50,False
0.7605757521808062,270,14,55,False
0.7605757521808062,270,14,45,False
0.7605757521808062,270,14,35,False
0.7605447034272659,300,14,50,False
0.7605447034272659,300,14,40,False
0.7605447034272659,300,14,55,False
0.7605447034272659,300,14,60,False
0.7605447034272659,300,14,45,False
0.7605447034272659,300,14,35,False
0.7604067233135452,150,14,35,False
0.7604067233135452,150,14,60,False
0.7604067233135452,150,14,55,False
0.7604067233135452,150,14,45,False
0.7604067233135452,150,14,50,False
0.7604067233135452,150,14,40,False
0.7604055288566214,230,14,35,False
