Feature,Importance
movefactor_s,0.3924594832042542
antarctic_lambda,0.15329217239755785
climate_sensitivity,0.1218121088265824
antarctic_temp_threshold,0.11489012828963954
rf_scale_aerosol,0.04683696656206526
dvbm_s,0.023863819144405187
vslmult_s,0.011703303463678209
antarctic_mu,0.010498189055737378
greenland_beta,0.004792363474803415
temperature_0,0.0045696125375332885
greenland_b,0.0036340109163172157
rho_greenland,0.003586153124613275
ocean_heat_0,0.0030455716968564453
greenland_alpha,0.0029708393295082365
antarctic_runoff_height0,0.0029454291637104686
greenland_a,0.002771690439158438
antarctic_precip0,0.002747786905468292
thermal_alpha,0.0027290914436873363
antarctic_flow0,0.0026904023994647136
Q10,0.002633976330891303
rho_gmsl,0.0026130876793772607
anto_alpha,0.0026101776783338648
sd_antarctic,0.002599051260955067
heat_diffusivity,0.0025761378104215554
anto_beta,0.0025235190938946144
rho_antarctic,0.0024935337965630157
wvpdl_s,0.0024622695511738466
sd_greenland,0.0024525255555589744
rho_ocean_heat,0.002424447132279507
wvel_s,0.002400907927928069
antarctic_s0,0.002391072366393957
antarctic_alpha,0.0023868350348208722
rho_glaciers,0.002370747601019844
CO2_0,0.0023686678100757544
glaciers_n,0.0023354034483316255
sd_glaciers,0.002328835110296983
glaciers_v0,0.0023006003474247694
CO2_diffusivity,0.002300510682329762
antarctic_kappa,0.002289353076972789
thermal_s0,0.0022824464731607858
sd_gmsl,0.0022700623459070406
rho_temperature,0.0022700240027919644
greenland_v0,0.0022498232469385392
antarctic_c,0.0022446520737143057
alpha0_CO2,0.0022323780501392484
glaciers_s0,0.00219472962189714
sigma_whitenoise_co2,0.0021924656056958
antarctic_nu,0.0021849679993256785
sd_temp,0.002174627762718141
glaciers_beta0,0.0021715107848293887
antarctic_gamma,0.0021642903895342613
sd_ocean_heat,0.002159032878231087
vslel_s,0.0021527229972563523
antarctic_bed_height0,0.0021306623470817593
N2O_0,0.002108255488745783
CO2_fertilization,0.00206253947947002
antarctic_slope,0.002054026782478142
