Feature,Importance
antarctic_temp_threshold,0.3224755185213627
movefactor_s,0.3185117666626948
climate_sensitivity,0.09915459930923382
antarctic_lambda,0.09670500651328956
rf_scale_aerosol,0.04720083910584931
antarctic_mu,0.006171872706062592
heat_diffusivity,0.004511030883791575
thermal_alpha,0.003955450860784461
dvbm_s,0.003899712353747708
greenland_beta,0.0035859917004004123
ocean_heat_0,0.0035489793160634353
temperature_0,0.0030332644590681046
rho_greenland,0.0027739460255063754
greenland_b,0.0024121614684660445
antarctic_precip0,0.002251692411217172
anto_alpha,0.002144375692303336
rho_gmsl,0.0021288944415939425
greenland_alpha,0.002123968291939439
sd_ocean_heat,0.002097510780596037
sd_antarctic,0.0020951094212948622
antarctic_runoff_height0,0.002090653887263996
CO2_0,0.0020670881497064256
rho_glaciers,0.002005620599394596
antarctic_nu,0.0019923808459129076
rho_temperature,0.0019730949183199512
greenland_v0,0.0019721270081101794
glaciers_beta0,0.0019680478464388492
glaciers_v0,0.0019638738911736987
sd_greenland,0.0019610770685807967
antarctic_alpha,0.0019262921421224254
rho_antarctic,0.0019239197188274436
CO2_diffusivity,0.001922423048453159
vslel_s,0.001918825637604677
sd_glaciers,0.0019187299581427115
antarctic_c,0.0019174666206665488
Q10,0.001917075769352684
antarctic_gamma,0.0019133069032449203
anto_beta,0.0019096723562128908
antarctic_s0,0.0018940551139741601
glaciers_n,0.001877468612836406
N2O_0,0.0018634078751603232
CO2_fertilization,0.0018578650824843533
antarctic_slope,0.0018521033602432624
thermal_s0,0.0018373107807160053
antarctic_flow0,0.0018306145534753443
antarctic_kappa,0.0018290427114234702
vslmult_s,0.0018264243737139104
alpha0_CO2,0.001817648794734337
wvel_s,0.0018150133793106752
rho_ocean_heat,0.0017974781723298669
sd_temp,0.0017858584430797547
glaciers_s0,0.001763844224159391
wvpdl_s,0.0017291485583191292
greenland_a,0.0017115761179815512
sigma_whitenoise_co2,0.0016435447390144393
sd_gmsl,0.0016183318478549783
antarctic_bed_height0,0.0016058959643940145
