Feature,Importance
antarctic_temp_threshold,0.3445037203945425
movefactor_s,0.22108218782095906
climate_sensitivity,0.16150160739727928
antarctic_lambda,0.08653358379199357
rf_scale_aerosol,0.05326500198892074
dvbm_s,0.005995689588169662
antarctic_mu,0.005746056271839224
thermal_alpha,0.004585833547283309
heat_diffusivity,0.004401057898191659
greenland_beta,0.004255613165735087
temperature_0,0.0037623623299387655
ocean_heat_0,0.003347212819679958
antarctic_precip0,0.0031902487538177557
rho_greenland,0.003013870953282576
greenland_b,0.002946650148662937
rho_gmsl,0.0026389502079243606
vslmult_s,0.0026143138599516716
sd_antarctic,0.0025539084014994874
greenland_alpha,0.002550425672789926
Q10,0.002536923400353981
anto_alpha,0.0024652831630175677
antarctic_runoff_height0,0.0024340841339797557
vslel_s,0.0023195206594275376
sd_ocean_heat,0.002295844798802916
antarctic_c,0.0022712300103010516
antarctic_nu,0.0022631067716885923
greenland_v0,0.0022553091167677834
rho_glaciers,0.002230153684296394
glaciers_v0,0.002229163840919906
CO2_0,0.002219357800407968
CO2_fertilization,0.0022045355145876573
rho_temperature,0.0021929363070329173
rho_antarctic,0.002187354915704342
sd_greenland,0.0021813096487602107
antarctic_slope,0.002176812459619392
wvel_s,0.002176330437699672
antarctic_kappa,0.0021486569720968428
antarctic_s0,0.0021405089558859803
antarctic_alpha,0.002137019053799116
N2O_0,0.002131104011928098
antarctic_flow0,0.002125549694188765
glaciers_n,0.0021143236822153944
anto_beta,0.0020970611398993437
CO2_diffusivity,0.002087634824022059
sd_glaciers,0.0020740549553415187
greenland_a,0.002046162982635856
sd_gmsl,0.002044090105228125
wvpdl_s,0.002040161886019786
alpha0_CO2,0.002039636752998609
rho_ocean_heat,0.002039626962541284
thermal_s0,0.0020254889158748983
antarctic_gamma,0.0020245304704429594
sigma_whitenoise_co2,0.001989756579635698
glaciers_s0,0.0019288012998101086
glaciers_beta0,0.0019143839636088348
sd_temp,0.001914106861180727
antarctic_bed_height0,0.001809788254816798
