Feature,Importance
movefactor_s,0.7378534370324701
rf_scale_aerosol,0.040104136876139534
dvbm_s,0.03446254448273678
antarctic_temp_threshold,0.02811838095738495
climate_sensitivity,0.019444897245852823
thermal_alpha,0.01462123044265805
greenland_beta,0.005029414542042566
antarctic_precip0,0.004831235612511066
temperature_0,0.004709771682150408
sd_antarctic,0.0034764392810222463
rho_gmsl,0.0031967331627100054
greenland_alpha,0.003107354236132979
greenland_b,0.002974746678214429
heat_diffusivity,0.002889646926641966
antarctic_runoff_height0,0.0028706213408689306
rho_greenland,0.0027924782026650385
CO2_fertilization,0.0027744410167047165
antarctic_c,0.0026441921784249793
glaciers_n,0.0026367156602523307
rho_antarctic,0.002552809104953846
anto_alpha,0.0025290519230515823
antarctic_slope,0.00239167426186457
antarctic_alpha,0.002376212449815369
antarctic_mu,0.00236221775305152
antarctic_flow0,0.002334155705212488
sd_ocean_heat,0.0022696445822779038
thermal_s0,0.00226856953490324
antarctic_lambda,0.0022680674190166295
rho_glaciers,0.0022651710982095536
greenland_a,0.0022280645384991932
sd_gmsl,0.002209385070036506
antarctic_bed_height0,0.0021725983746575823
ocean_heat_0,0.002163851134126833
Q10,0.00215523425007959
CO2_diffusivity,0.0021336793919826996
glaciers_v0,0.002125444842673141
sd_greenland,0.002122072059143515
antarctic_s0,0.0021202984736900794
alpha0_CO2,0.002117049843261613
vslmult_s,0.0021076752864133915
wvel_s,0.00207986090543946
wvpdl_s,0.00207400066830379
vslel_s,0.0020703920802964504
rho_temperature,0.0020524883277122986
glaciers_beta0,0.00204606289780391
antarctic_kappa,0.002044500510306676
CO2_0,0.0020444708082668923
sigma_whitenoise_co2,0.0020357248549376533
N2O_0,0.0020321137306412505
antarctic_nu,0.0020210397313944095
antarctic_gamma,0.002013930644842338
greenland_v0,0.0020138208973598313
sd_glaciers,0.0019879647312400074
anto_beta,0.001947564804000321
rho_ocean_heat,0.0019367139450376697
sd_temp,0.0019010138319181873
glaciers_s0,0.0018869919759942394
