Feature,Importance
dvbm_s,0.852265658724033
movefactor_s,0.08253973278425907
thermal_alpha,0.007756204469483501
rf_scale_aerosol,0.00769837627173453
climate_sensitivity,0.007665882967847758
temperature_0,0.001537296719953257
heat_diffusivity,0.0013374702343071328
antarctic_temp_threshold,0.001280689041007403
greenland_beta,0.0009984475413491384
glaciers_beta0,0.0009621049710914075
rho_greenland,0.0009453160014643914
rho_antarctic,0.0009340314576493676
sd_gmsl,0.0009186479687882926
greenland_alpha,0.0008782810092436535
wvpdl_s,0.0008774284412639669
vslmult_s,0.0008638404018445453
sd_antarctic,0.0008631397934771412
ocean_heat_0,0.0008400694875655723
rho_gmsl,0.000839297649583158
antarctic_precip0,0.0008345968453836504
thermal_s0,0.0008302954089557862
antarctic_s0,0.0008156072863834051
rho_glaciers,0.00081298655831027
antarctic_flow0,0.0007981438330546928
glaciers_n,0.0007967253418240209
antarctic_mu,0.000790713943505101
antarctic_gamma,0.0007780210416716452
antarctic_runoff_height0,0.0007644451698005008
N2O_0,0.0007573255433410737
rho_ocean_heat,0.0007535851948608415
antarctic_alpha,0.0007527023761096793
rho_temperature,0.0007521964703421582
sd_greenland,0.0007482930471536561
greenland_v0,0.0007415149164840044
sd_temp,0.0007385980020346248
greenland_b,0.0007357070513092086
antarctic_bed_height0,0.0007321693398159104
antarctic_c,0.0007316862634434055
glaciers_v0,0.0007307835183795838
CO2_diffusivity,0.0007303453260407431
antarctic_kappa,0.0007282261426817938
sd_ocean_heat,0.0007235172900816409
glaciers_s0,0.0007178422140012259
alpha0_CO2,0.000705638711268605
anto_alpha,0.0007042150117375264
Q10,0.0007034588590771849
antarctic_nu,0.0007024901476688646
anto_beta,0.0007014143389954162
antarctic_slope,0.0006983787422649132
CO2_0,0.0006935090354786022
wvel_s,0.0006926240014256703
sd_glaciers,0.0006912897368605104
vslel_s,0.0006878741980237381
greenland_a,0.0006848514858715312
sigma_whitenoise_co2,0.0006814928535880815
antarctic_lambda,0.0006788932563419518
CO2_fertilization,0.0006759255604824879
