Feature,Importance
dvbm_s,0.39449449348731336
antarctic_temp_threshold,0.22796005878568987
climate_sensitivity,0.13059053734029197
rf_scale_aerosol,0.06626599049888868
antarctic_lambda,0.03506624886861587
movefactor_s,0.009540783173851502
wvpdl_s,0.006897648452303652
greenland_beta,0.006035926962656553
antarctic_precip0,0.004630488418808101
temperature_0,0.004344996156582485
greenland_b,0.003990132154779165
rho_gmsl,0.0038173436082536817
thermal_alpha,0.0035507617952264636
antarctic_mu,0.003538989637332969
heat_diffusivity,0.0035151621218892054
greenland_alpha,0.0033043635678015773
rho_greenland,0.0031845033739478228
ocean_heat_0,0.002921731396334443
sd_antarctic,0.002833545762437952
antarctic_runoff_height0,0.0027038803246135865
anto_alpha,0.0026671097822740506
sd_gmsl,0.002491639983841878
antarctic_slope,0.0024558106519193042
sd_greenland,0.002402202576360405
greenland_a,0.0023720291841325446
Q10,0.0023299841169729654
sigma_whitenoise_co2,0.0023095186355295604
CO2_0,0.0022678804326514805
wvel_s,0.0022666845287647136
antarctic_alpha,0.0022555730596397314
sd_glaciers,0.0022461074396276015
antarctic_flow0,0.0022374064108118246
anto_beta,0.0022339985831850134
rho_antarctic,0.0022303625320103607
N2O_0,0.0022287984840848505
thermal_s0,0.002222070210403596
antarctic_kappa,0.002199052013222169
glaciers_n,0.002197411231557511
sd_ocean_heat,0.0021833356715886833
sd_temp,0.002173226519427464
rho_ocean_heat,0.002172216766165116
antarctic_c,0.002147189547791831
antarctic_gamma,0.002144552245832441
glaciers_v0,0.0021411913385212746
rho_temperature,0.0021394547572005647
CO2_fertilization,0.002133700043678689
antarctic_s0,0.0020786015205215757
rho_glaciers,0.0020481766816361083
antarctic_bed_height0,0.0020459695915888776
alpha0_CO2,0.002042752177288926
glaciers_s0,0.0019929075397071335
antarctic_nu,0.001977687010308461
glaciers_beta0,0.0019755884045541297
vslel_s,0.001964405088979287
greenland_v0,0.0019541737442840116
vslmult_s,0.001952754284877585
CO2_diffusivity,0.0019308913214393577
