Feature,Importance
dvbm_s,0.4464544965024733
antarctic_temp_threshold,0.1602912328327922
climate_sensitivity,0.09801426624738971
movefactor_s,0.07086099276086526
antarctic_lambda,0.05266532544815698
rf_scale_aerosol,0.046522520693374037
antarctic_mu,0.0041700522670178215
thermal_alpha,0.003728106104318154
greenland_beta,0.0035552980976197397
ocean_heat_0,0.003237429605286226
greenland_b,0.003146404773019561
rho_greenland,0.003105571807042106
wvpdl_s,0.0030362334383140063
temperature_0,0.0029600899939630164
antarctic_precip0,0.0026965036032405394
rho_antarctic,0.002686596514963419
sd_ocean_heat,0.0026724826139145814
antarctic_runoff_height0,0.002574486954313048
rho_gmsl,0.0025404316273715537
sd_antarctic,0.0025361801694378117
anto_alpha,0.002522409425253507
thermal_s0,0.002509266671597434
heat_diffusivity,0.0024948968461222716
N2O_0,0.002487796340578539
antarctic_flow0,0.00237593042548013
sd_greenland,0.0023442451004000585
glaciers_n,0.002313906756659626
rho_ocean_heat,0.002306808739131232
rho_temperature,0.0022962448890928317
sigma_whitenoise_co2,0.002288611323943969
antarctic_c,0.0022829084305987972
greenland_alpha,0.0022816940912743534
CO2_0,0.0022747991602221165
wvel_s,0.002272986278121178
antarctic_alpha,0.0022577887817914486
antarctic_slope,0.0022559872195281887
anto_beta,0.002255521124849459
antarctic_kappa,0.0022476115352345486
Q10,0.002236337370968716
antarctic_nu,0.002204895157232012
glaciers_v0,0.0021833073973085856
CO2_diffusivity,0.0021824761801640504
greenland_a,0.0021716501868730897
vslel_s,0.0021702074917718684
greenland_v0,0.0021684287069734026
antarctic_s0,0.0021673997084991447
rho_glaciers,0.0021586698644744866
sd_temp,0.0021539308299925843
antarctic_bed_height0,0.002128083657887972
CO2_fertilization,0.0021205613265707106
alpha0_CO2,0.0020998292093848897
sd_gmsl,0.00208761685766647
antarctic_gamma,0.0020786398489496746
sd_glaciers,0.0020765160580238813
glaciers_s0,0.0020490676617274093
vslmult_s,0.002044665320259026
glaciers_beta0,0.001993601970519217
