Feature,Importance
dvbm_s,0.6573839655688335
climate_sensitivity,0.06483972221631525
antarctic_temp_threshold,0.06390640941078878
rf_scale_aerosol,0.058770907416422734
movefactor_s,0.01151316490207799
antarctic_precip0,0.007445551684083493
greenland_beta,0.006216810553338722
temperature_0,0.0050115919608883465
rho_gmsl,0.004928550258817842
thermal_alpha,0.004799282384228192
antarctic_lambda,0.004251665362709105
heat_diffusivity,0.003982661965621787
greenland_b,0.003921991593737065
anto_alpha,0.0038567615982253636
sd_antarctic,0.003748626940763663
wvpdl_s,0.00355054993108073
rho_antarctic,0.0033816886475319043
N2O_0,0.0032204504721356523
CO2_diffusivity,0.0031887091326591715
antarctic_slope,0.0029618225544173846
antarctic_c,0.002859827754271398
greenland_alpha,0.0028334791543470376
antarctic_runoff_height0,0.0027792508703156932
rho_greenland,0.002703109166624405
CO2_fertilization,0.0026967800126786448
antarctic_alpha,0.00266095954295887
antarctic_mu,0.002563655286142504
rho_temperature,0.002521407863972416
glaciers_n,0.0024892319549927626
greenland_a,0.002477191720982801
sd_ocean_heat,0.002451339325615529
rho_glaciers,0.002429458129129814
antarctic_kappa,0.0024275995217286103
Q10,0.002389523343140147
ocean_heat_0,0.0023202585822006297
sd_gmsl,0.0021906859806302163
antarctic_s0,0.0021670780198608038
glaciers_s0,0.0021198038922015483
antarctic_gamma,0.0020637459321508414
rho_ocean_heat,0.0019984239291072
antarctic_flow0,0.0019251896700389541
glaciers_v0,0.001900812510380883
alpha0_CO2,0.0018775787792168633
thermal_s0,0.0018729620169336157
sigma_whitenoise_co2,0.0018649579101289347
greenland_v0,0.0018404339536126771
glaciers_beta0,0.001828249186208628
vslel_s,0.0018031465032453033
CO2_0,0.0017632487581526867
vslmult_s,0.0017334290195571507
antarctic_bed_height0,0.0017141096213527877
wvel_s,0.0017113066817511283
sd_greenland,0.0016882585449854888
anto_beta,0.0016774107038261606
antarctic_nu,0.001614677888828967
sd_glaciers,0.0016039946528843998
sd_temp,0.0015565390611667097
