Feature,Importance
dvbm_s,0.345113187142439
antarctic_temp_threshold,0.2476123639660545
climate_sensitivity,0.14670855102807098
rf_scale_aerosol,0.07568570024915511
antarctic_lambda,0.03332270156439831
movefactor_s,0.008492188004551371
greenland_beta,0.005921915362655262
wvpdl_s,0.005162405266962843
thermal_alpha,0.005078157880016024
antarctic_precip0,0.00471027914950647
greenland_b,0.00449638322877447
temperature_0,0.004480512542868072
rho_gmsl,0.004194349363401746
heat_diffusivity,0.003740849061411888
rho_greenland,0.0035776323090929685
antarctic_mu,0.003509154504892024
ocean_heat_0,0.0033158511253795014
sd_antarctic,0.0032184166985669478
greenland_alpha,0.0030799986828078797
anto_alpha,0.0028449974049697714
antarctic_runoff_height0,0.0027852523854629318
Q10,0.002696148325403431
sd_ocean_heat,0.0025558630437029777
antarctic_slope,0.002555539698340965
glaciers_n,0.002531578034673339
greenland_a,0.0025131671457237423
sd_greenland,0.002451887270442808
antarctic_flow0,0.0024330500582094737
antarctic_c,0.0024237544732041475
sd_gmsl,0.0024207164304806566
rho_antarctic,0.0023716116995925783
N2O_0,0.0023710483584366954
antarctic_kappa,0.0023533522321809376
anto_beta,0.0023417424297991927
wvel_s,0.0023386947416232126
CO2_0,0.002329934722984211
rho_ocean_heat,0.002318841068466414
antarctic_s0,0.0023135229514582687
sd_glaciers,0.002313472272859595
antarctic_alpha,0.0023134555617642036
sigma_whitenoise_co2,0.0022820527833520027
alpha0_CO2,0.0022762913314288693
glaciers_v0,0.0022651132816265728
thermal_s0,0.0022635229041700414
CO2_fertilization,0.0022552976820391347
vslel_s,0.0022078457952784255
vslmult_s,0.002204472003118555
antarctic_nu,0.0021924738582771246
rho_glaciers,0.002181220837744651
antarctic_gamma,0.0021722295586705273
rho_temperature,0.002161669928056926
CO2_diffusivity,0.0021576955789073277
sd_temp,0.002121558534026019
greenland_v0,0.002106672731337372
glaciers_beta0,0.0020837159967066875
glaciers_s0,0.0020488403184473598
antarctic_bed_height0,0.0020210994360274864
