Feature,Importance
dvbm_s,0.6475674055747761
climate_sensitivity,0.07138380508450351
antarctic_temp_threshold,0.06944556699571076
rf_scale_aerosol,0.05400106274185124
movefactor_s,0.008724290859605834
antarctic_precip0,0.007531353120292579
greenland_beta,0.006130638824211145
rho_gmsl,0.005369674376967124
antarctic_lambda,0.004839627113469942
temperature_0,0.004749507607775136
thermal_alpha,0.004352828144580295
sd_antarctic,0.004232885598881353
heat_diffusivity,0.004040060444494782
greenland_b,0.0038186717697063404
antarctic_kappa,0.00377860983165541
wvpdl_s,0.003626142601409978
anto_alpha,0.0035322640131096373
rho_antarctic,0.0033907982464218777
sd_ocean_heat,0.0032576300244435176
rho_glaciers,0.0031057051079513617
antarctic_runoff_height0,0.0030610205693987562
CO2_diffusivity,0.0029310091387881156
antarctic_slope,0.002885878708081147
greenland_alpha,0.0028661614695400413
antarctic_mu,0.0027690317947019322
glaciers_n,0.0027264714255049827
antarctic_c,0.002702534433141123
rho_greenland,0.002699215713695192
Q10,0.0026946291989577414
CO2_fertilization,0.0026486527764643096
antarctic_alpha,0.002605321290955615
N2O_0,0.0025181308649717387
antarctic_flow0,0.0024724940186820654
ocean_heat_0,0.0024089184008679876
sd_gmsl,0.002351436269158024
greenland_a,0.0023387538247119743
rho_temperature,0.002231592058714036
glaciers_s0,0.0022090511288692834
glaciers_beta0,0.0022023034612895865
antarctic_gamma,0.002180071185651675
thermal_s0,0.002104722618566284
antarctic_s0,0.0020749323773490307
rho_ocean_heat,0.0020551957068087544
alpha0_CO2,0.002020302200963149
wvel_s,0.001970317989876782
antarctic_bed_height0,0.0019693222491949137
vslmult_s,0.0018935418749187593
sigma_whitenoise_co2,0.0018828568141353978
antarctic_nu,0.0018038337392648133
glaciers_v0,0.0017940348770181301
vslel_s,0.0017880846854374827
anto_beta,0.0017811679701608587
CO2_0,0.0017774491821874704
sd_greenland,0.0017394888973974066
greenland_v0,0.0017003860675080986
sd_glaciers,0.001651232088159754
sd_temp,0.0016119248470897914
