Feature,Importance
antarctic_temp_threshold,0.28283995232350767
dvbm_s,0.26939206574866675
climate_sensitivity,0.198561196276553
rf_scale_aerosol,0.07316615448322887
antarctic_lambda,0.03047888315015304
heat_diffusivity,0.006212206295885342
greenland_beta,0.00575196140218204
temperature_0,0.005037157547707933
antarctic_precip0,0.004878177753504309
movefactor_s,0.004857113415101464
rho_gmsl,0.004430487490093115
wvpdl_s,0.0042352658378875365
greenland_b,0.004079291996648276
ocean_heat_0,0.0038899708926918176
thermal_alpha,0.0037306881677711522
sd_antarctic,0.003360192256905945
antarctic_mu,0.0033313135491330713
greenland_alpha,0.003179409449149844
rho_greenland,0.003143206044859131
Q10,0.0029124585114779417
antarctic_runoff_height0,0.0028273884203910845
anto_alpha,0.0027694607833251327
antarctic_flow0,0.0026008550016629666
greenland_a,0.002522179502263224
sd_ocean_heat,0.002489394004565357
glaciers_n,0.0024595325698194663
antarctic_slope,0.0024282163535939596
CO2_fertilization,0.0023264676026024567
sd_gmsl,0.002296447950511187
CO2_diffusivity,0.0022862565234756153
anto_beta,0.002282665389254065
rho_antarctic,0.0022739937441811713
rho_ocean_heat,0.002267005489416426
alpha0_CO2,0.0022664335431819838
sigma_whitenoise_co2,0.0022633657513791766
antarctic_s0,0.002199307679722202
sd_glaciers,0.002196381246320064
wvel_s,0.0021870650869030596
N2O_0,0.002159504086450003
antarctic_kappa,0.0021466063359174255
glaciers_beta0,0.002143222789578738
sd_greenland,0.0021334268441766933
rho_glaciers,0.0021259397332712734
antarctic_c,0.0021192506990401904
antarctic_alpha,0.002110890907925643
greenland_v0,0.0021062879258211637
antarctic_gamma,0.00210536424109154
thermal_s0,0.002087343521503931
CO2_0,0.0020818889832879177
rho_temperature,0.0020691370303546597
glaciers_v0,0.0020684991335311142
vslmult_s,0.002062642394967469
sd_temp,0.0020464197965776526
vslel_s,0.002026464984844572
antarctic_nu,0.00202634373350068
antarctic_bed_height0,0.002021608812941887
glaciers_s0,0.0019495888095405144
