Feature,Importance
movefactor_s,0.40016665244970406
antarctic_temp_threshold,0.18548460058396174
antarctic_lambda,0.14870743968318198
climate_sensitivity,0.0834154648984212
rf_scale_aerosol,0.059914914590721215
antarctic_mu,0.010266103706226156
temperature_0,0.004323124234006619
dvbm_s,0.004011618187370639
greenland_beta,0.00392888961074248
vslmult_s,0.0032655087663670205
rho_greenland,0.003199222344289501
thermal_alpha,0.003127338728830963
ocean_heat_0,0.0031021105392273433
greenland_b,0.0028216494201620647
heat_diffusivity,0.0024011692811848114
greenland_alpha,0.0023507705036431206
sd_antarctic,0.0022561074081958845
anto_alpha,0.002229924806622153
antarctic_runoff_height0,0.002228912611260538
CO2_0,0.0021046343377913615
antarctic_flow0,0.0020835885981109453
rho_antarctic,0.0020588257251062544
greenland_a,0.002036799413689132
rho_temperature,0.0020349993714230204
rho_gmsl,0.002034532899281596
sd_greenland,0.002010871172520325
rho_ocean_heat,0.0020108583856116853
antarctic_kappa,0.0020037199973972344
glaciers_beta0,0.0020019720892129923
rho_glaciers,0.0019942778903084403
sd_glaciers,0.001977191555867547
sd_ocean_heat,0.001967344343411421
antarctic_precip0,0.0019541396071569963
antarctic_s0,0.0019364147307955847
glaciers_v0,0.0019237814062271954
thermal_s0,0.0019163109756612268
wvpdl_s,0.0019124053830260614
greenland_v0,0.0019121906939629691
anto_beta,0.0019104521373024361
glaciers_n,0.001908320897842825
antarctic_nu,0.0019078340454466588
vslel_s,0.0019075647200255108
wvel_s,0.0019066431349854104
Q10,0.0018999528055643007
sigma_whitenoise_co2,0.0018913942880409318
CO2_diffusivity,0.0018567526955594752
antarctic_c,0.0018390215004798127
antarctic_gamma,0.0018339625324095116
sd_gmsl,0.001829528918901051
CO2_fertilization,0.0018016328180350558
antarctic_slope,0.001800503764281917
antarctic_bed_height0,0.0017977772018598
sd_temp,0.0017973644456035387
antarctic_alpha,0.0017933456364809268
alpha0_CO2,0.0017846474507592952
glaciers_s0,0.001731901076457544
N2O_0,0.001725018999282614
