mean_test_score,n_estimators,min_samples_split,max_depth,bootstrap
0.7834797225026409,300,4,20,False
0.7834335382645519,300,4,40,False
0.7834185221955916,300,4,80,False
0.7834185221955916,300,4,90,False
0.7834185221955916,300,4,50,False
0.7834185221955916,300,4,100,False
0.7834185221955916,300,4,60,False
0.7834185221955916,300,4,70,False
0.7831575815517395,150,2,20,False
0.7828949450640075,200,2,20,False
0.7828816391887393,300,4,30,False
0.7828376332383826,300,2,20,False
0.7828166568402832,300,2,30,False
0.7826648717582938,230,2,20,False
0.7826616344548469,140,2,20,False
0.7825825811317005,300,2,100,False
0.7825825811317005,300,2,60,False
0.7825825811317005,300,2,70,False
0.7825825811317005,300,2,50,False
0.7825825811317005,300,2,80,False
0.7825825811317005,300,2,90,False
0.7825684124487345,300,2,40,False
0.7824986258518641,180,2,20,False
0.7823879133700439,270,4,40,False
0.7823821017643462,270,4,50,False
0.7823821017643462,270,4,90,False
0.7823821017643462,270,4,100,False
0.7823821017643462,270,4,60,False
0.7823821017643462,270,4,80,False
0.7823821017643462,270,4,70,False
0.7823044259153438,255,4,40,False
0.782298402194281,255,4,80,False
0.782298402194281,255,4,60,False
0.782298402194281,255,4,100,False
0.782298402194281,255,4,70,False
0.782298402194281,255,4,50,False
0.782298402194281,255,4,90,False
0.7822600701587845,255,4,20,False
0.7822574041389752,150,2,30,False
0.7821967048343256,160,2,30,False
0.7821289608622332,255,2,20,False
0.7820947222647076,255,4,30,False
0.7820827106604519,160,2,20,False
0.7820305654958725,270,4,20,False
0.7820255585974796,270,4,30,False
0.7819451406741508,270,2,20,False
0.7819166807593594,230,4,20,False
0.781866314289639,300,6,30,False
0.7818080301833178,230,4,40,False
0.781802926746645,230,4,60,False
0.781802926746645,230,4,90,False
0.781802926746645,230,4,100,False
0.781802926746645,230,4,80,False
0.781802926746645,230,4,50,False
0.781802926746645,230,4,70,False
0.7817881111259846,230,4,30,False
0.7817763125500111,300,6,40,False
0.7817585332548778,300,6,60,False
0.7817585332548778,300,6,50,False
0.7817585332548778,300,6,100,False
0.7817585332548778,300,6,70,False
0.7817585332548778,300,6,90,False
0.7817585332548778,300,6,80,False
0.7817204097811452,230,2,100,False
0.7817204097811452,230,2,60,False
0.7817204097811452,230,2,70,False
0.7817204097811452,230,2,80,False
0.7817204097811452,230,2,50,False
0.7817204097811452,230,2,90,False
0.7817187667921665,270,2,50,False
0.7817187667921665,270,2,90,False
0.7817187667921665,270,2,80,False
0.7817187667921665,270,2,70,False
0.7817187667921665,270,2,100,False
0.7817187667921665,270,2,60,False
0.781701520962852,270,2,40,False
0.781655147931039,180,2,30,False
0.7815706477233089,230,2,40,False
0.7814991811305596,230,2,30,False
0.7814411331022264,170,2,20,False
0.7813579532525081,270,2,30,False
0.7812131489913746,200,2,30,False
0.7811621053981367,150,2,90,False
0.7811621053981367,150,2,50,False
0.7811621053981367,150,2,60,False
0.7811621053981367,150,2,70,False
0.7811621053981367,150,2,100,False
0.7811621053981367,150,2,80,False
0.7811352494781418,160,2,60,False
0.7811352494781418,160,2,90,False
0.7811352494781418,160,2,70,False
0.7811352494781418,160,2,50,False
0.7811352494781418,160,2,100,False
0.7811352494781418,160,2,80,False
0.78109448542264,255,2,80,False
0.78109448542264,255,2,60,False
0.78109448542264,255,2,70,False
0.78109448542264,255,2,90,False
0.78109448542264,255,2,100,False
0.78109448542264,255,2,50,False
0.7810793368890736,140,2,30,False
0.7810571991963796,255,2,40,False
0.7810511708781014,180,2,50,False
0.7810511708781014,180,2,70,False
0.7810511708781014,180,2,60,False
0.7810511708781014,180,2,100,False
0.7810511708781014,180,2,90,False
0.7810511708781014,180,2,80,False
0.7810410456331278,200,4,20,False
0.7810398911643082,150,2,40,False
0.7810359446576508,170,2,30,False
0.7810205687959637,160,2,40,False
0.780906300872134,200,2,50,False
0.780906300872134,200,2,80,False
0.780906300872134,200,2,90,False
0.780906300872134,200,2,70,False
0.780906300872134,200,2,100,False
0.780906300872134,200,2,60,False
0.7808872613710317,180,2,40,False
0.7808235806662658,255,2,30,False
0.7807274186875328,200,2,40,False
0.78057742684804,180,4,20,False
0.7805682685300468,160,4,20,False
0.780533419021481,140,2,80,False
0.780533419021481,140,2,60,False
0.780533419021481,140,2,70,False
0.780533419021481,140,2,50,False
0.780533419021481,140,2,100,False
0.780533419021481,140,2,90,False
0.7805068424317564,150,4,20,False
0.7803761060146448,140,2,40,False
0.780341604117587,300,10,30,False
0.7802408241173201,270,10,30,False
0.7801739679861412,300,10,90,False
0.7801739679861412,300,10,50,False
0.7801739679861412,300,10,80,False
0.7801739679861412,300,10,70,False
0.7801739679861412,300,10,60,False
0.7801739679861412,300,10,100,False
0.7801344233674671,270,6,40,False
0.7801320328993209,300,10,40,False
0.7801140960784376,270,6,90,False
0.7801140960784376,270,6,60,False
0.7801140960784376,270,6,100,False
0.7801140960784376,270,6,50,False
0.7801140960784376,270,6,80,False
0.7801140960784376,270,6,70,False
0.7801117640751174,255,10,30,False
0.7801071624487663,255,6,30,False
0.7800981214965259,170,2,90,False
0.7800981214965259,170,2,60,False
0.7800981214965259,170,2,80,False
0.7800981214965259,170,2,50,False
0.7800981214965259,170,2,70,False
0.7800981214965259,170,2,100,False
0.7800886822402198,270,6,30,False
0.780029625427949,255,6,40,False
0.780008058032106,255,6,80,False
0.780008058032106,255,6,50,False
0.780008058032106,255,6,90,False
0.780008058032106,255,6,60,False
0.780008058032106,255,6,100,False
0.780008058032106,255,6,70,False
0.7799900594577008,170,2,40,False
0.7799885839246089,270,10,70,False
0.7799885839246089,270,10,80,False
0.7799885839246089,270,10,100,False
0.7799885839246089,270,10,50,False
0.7799885839246089,270,10,90,False
0.7799885839246089,270,10,60,False
0.7799413386365369,270,10,40,False
0.7799207641705223,200,10,30,False
0.7799099212677758,150,6,100,False
0.7799099212677758,150,6,70,False
0.7799099212677758,150,6,50,False
0.7799099212677758,150,6,80,False
0.7799099212677758,150,6,90,False
0.7799099212677758,150,6,60,False
0.7799099212677758,150,6,40,False
0.7799014148399712,255,10,100,False
0.7799014148399712,255,10,90,False
0.7799014148399712,255,10,60,False
0.7799014148399712,255,10,50,False
0.7799014148399712,255,10,70,False
0.7799014148399712,255,10,80,False
0.7798516046987076,255,10,40,False
0.7798268031615357,300,6,20,False
0.7797716896253195,200,10,100,False
0.7797716896253195,200,10,70,False
0.7797716896253195,200,10,60,False
0.7797716896253195,200,10,80,False
0.7797716896253195,200,10,50,False
0.7797716896253195,200,10,90,False
0.7797083898356401,200,10,40,False
