lon,lat,sd_temp,sd_ocean_heat,sd_glaciers,sd_greenland,sd_antarctic,sd_gmsl,sigma_whitenoise_co2,rho_temperature,rho_ocean_heat,rho_glaciers,rho_greenland,rho_antarctic,rho_gmsl,alpha0_CO2,CO2_0,N2O_0,temperature_0,ocean_heat_0,thermal_s0,greenland_v0,glaciers_v0,glaciers_s0,antarctic_s0,Q10,CO2_fertilization,CO2_diffusivity,heat_diffusivity,rf_scale_aerosol,climate_sensitivity,thermal_alpha,greenland_a,greenland_b,greenland_alpha,greenland_beta,glaciers_beta0,glaciers_n,anto_alpha,anto_beta,antarctic_gamma,antarctic_alpha,antarctic_mu,antarctic_nu,antarctic_precip0,antarctic_kappa,antarctic_flow0,antarctic_runoff_height0,antarctic_c,antarctic_bed_height0,antarctic_slope,antarctic_lambda,antarctic_temp_threshold,dvbm_s,movefactor_s,vslel_s,vslmult_s,wvel_s,wvpdl_s
-87.39,30.47,0.003720773761788325,0.004394348125962867,0.0029098206223520037,0.0027114165938039005,0.0034536964716115567,0.002848054475703386,0.0034624304404059615,0.0031925976935567755,0.00410246880761125,0.0032397861984852128,0.003804252443911042,0.004339514199172378,0.004630976586528023,0.002941832423186033,0.003502600221181531,0.0037164798530032856,0.0036629318641466977,0.004498849433868094,0.003133760390780375,0.0029837879478381455,0.003195150430151655,0.002536586134579165,0.0031019424820656603,0.004137094070330206,0.0029786382601230893,0.003216168656959463,0.004657147429439889,0.04951192473853701,0.15233989031276607,0.004484138767761517,0.0027527893675266158,0.0030486586131605316,0.0027609853203940673,0.004231720659865845,0.0027716954329973817,0.004340178969585731,0.0041318487198058005,0.004457486576170681,0.0033670326794000395,0.0031551273454591537,0.013533030408355266,0.0028875365577027638,0.002981200088119289,0.003457616284309929,0.0032441069526634616,0.0031196082326012107,0.0032020731020440773,0.002624896526209249,0.0027862601264768225,0.2128986501709812,0.21855471186525224,0.07951106297343277,0.10202974170121766,0.0030750265168056007,0.002854810677129797,0.003036946556336175,0.0037761377383861493
-87.961,30.675,0.002387639089074234,0.0024654314478540465,0.002233320562867669,0.0023612195239157453,0.002440945781928436,0.0023220601979227215,0.0025383443503238703,0.0023084279699478977,0.0024417798068877526,0.0024597580326036657,0.003250501248687483,0.0026862469924614466,0.0026540624464431975,0.0022743185596694926,0.0025218448575331635,0.0023955462374310728,0.003710109385070996,0.0032225104424553636,0.0023547193458935876,0.0024397054784993564,0.0024710694854796207,0.0019509755574510547,0.002198687742313914,0.00361454362845843,0.002432399097212733,0.0023913533766198995,0.003492474017639814,0.04907493767575902,0.15765692314454938,0.004271626596358983,0.0020350913906476606,0.0027624649072429666,0.0022085724241539683,0.0037171324363075046,0.0020351724744867372,0.00277632002458879,0.0027899245349074613,0.0026212414072413082,0.0024385580197489325,0.002305782378225789,0.008085131302790044,0.002447697167091165,0.002316455040177222,0.0024345652315207423,0.0022209155687788937,0.002576065474987283,0.0024444903689560277,0.001960277533551402,0.0022366804619345496,0.1237357215451725,0.21371982282444224,0.01161152756605182,0.3079985960203618,0.0025458317118194694,0.0020335582374992837,0.002336977217329605,0.002581944650670906
-87.917,30.604,0.0024157102400212687,0.0027252680126327424,0.002255674255192148,0.0021602305473092925,0.0027372462591758683,0.0024845941198250935,0.0027368854001872463,0.0022938502762653626,0.00245099871355547,0.0028266667323631842,0.0032479504493296424,0.002678117745001115,0.0022885776592020267,0.0022340279572457523,0.0027555847747599118,0.002513690894462973,0.003854933595494031,0.003490457619072158,0.0023612861100715363,0.0025632604846295383,0.002459895888216105,0.002185066541761005,0.0023283657038252054,0.0034675747840781476,0.002535256446844443,0.002595016317227447,0.0033540553347002336,0.04650372040018142,0.14055336151454406,0.0040755095839936275,0.0020455221997657414,0.0029128447082538917,0.0021246970204591275,0.0034536898285388276,0.0022458774738866537,0.0028686065727133838,0.003071280519121971,0.0028617242053093762,0.002465420413970383,0.002477024594736242,0.010181161959630118,0.0025818550812123937,0.0022431814546286684,0.002737960828983894,0.0021919371576266077,0.0026438263573020384,0.002595382697241967,0.0022840265741496937,0.0024433457860391803,0.15721285275777008,0.19461611780283156,0.007449704405245344,0.31149408746949486,0.0028686485288015513,0.0022001368475207755,0.0022456644146105187,0.0023505879789872132
-87.911,30.562,0.0027650981637223973,0.0028208447722829467,0.002356696266114541,0.0023576853806431012,0.0025307651859171293,0.003023372304085729,0.002613333783830881,0.0025524439665261835,0.0029835326854522537,0.0028384557126891054,0.003183050063018745,0.00311453745991496,0.0032004560922365205,0.0024894236162949688,0.0029411501550507136,0.0030207189647458573,0.003812449044766499,0.003785893661566552,0.0026440213498327265,0.002716561285588247,0.002749075109843964,0.0022550598383039235,0.0025326889869801716,0.003485777363879948,0.002595839674281517,0.0028278493436741958,0.0034952767899089367,0.047371288955491,0.13464725432785568,0.0040646478786598005,0.002048059449053944,0.003035413675316363,0.0023931318225432338,0.0037815258189045297,0.0024452067359716154,0.0040177280958653555,0.003226221530054864,0.0032025183318607113,0.002623593858166114,0.002556625309638609,0.011430999738763365,0.0025364790198251024,0.002189942256329528,0.0027021834087042206,0.0022294333937689114,0.0026175979472735918,0.0026420949100453847,0.0021063039188619357,0.0025878650903847196,0.1688745174398768,0.18792136899717987,0.018601135416764822,0.2898745981631562,0.002672075379089179,0.0022280856992092806,0.00239787693119149,0.0032821694790411272
-87.923,30.521,0.003985283155257067,0.004518928688066124,0.00397790767925454,0.0036320006918544243,0.004122170473015608,0.0038806431344385705,0.004380252817408399,0.003769297903330261,0.004587117016160955,0.005117638622583512,0.004258347568459553,0.005138509834481936,0.003706802704235082,0.0036965249456384366,0.0035550183025271154,0.004879577121335528,0.005130861344316802,0.004656414434223987,0.0038534384396181,0.004189555345387048,0.0038098595782259277,0.0038653642629380997,0.003688056020676059,0.004493291508121007,0.003769850151099418,0.004303245671382993,0.004484501381617112,0.0371527168008472,0.11938053015929272,0.0064595248553305385,0.0032863357265971917,0.004024101196116442,0.0037428616508407794,0.004019386523620394,0.00407237029544284,0.00555244408237027,0.004976424951948539,0.004023468569413179,0.004282081968475478,0.0035921465503413108,0.007502078604946197,0.0036827325097872742,0.00375781032696162,0.0045441343169030386,0.004035065563680169,0.0040294976555312065,0.0033974960122689466,0.003775257386717415,0.0035066064729188723,0.10984800157239794,0.19752472022149667,0.07450451340464072,0.2452805225615343,0.004051303212004884,0.003985760327678399,0.004205981720885599,0.00435366600335629
-87.944,30.227,0.0018413230502886584,0.0023677295155516277,0.0019325523684654666,0.002088408276971631,0.0023001237070478906,0.0020339322790228487,0.002229892813992803,0.002171189383710745,0.0020915088415704376,0.002159390570870014,0.002785485328473121,0.0022832538308638637,0.0024664896560627884,0.0019438555439348763,0.002036088872533858,0.0023374732733350157,0.004660798281248634,0.0032793874107431625,0.0021033259363826763,0.002207264152844092,0.0020922840090989063,0.0017701640491618116,0.0021207996502588763,0.0037509201431853495,0.002253282606134312,0.002397803613653587,0.0035832930524235594,0.05650590618389684,0.19195399734579155,0.0034146897904015145,0.0020593924163649865,0.002465250261477143,0.002055961886613137,0.003289060068102484,0.0018489225724602984,0.0022012694728025155,0.002339687252621799,0.002105870192773839,0.0020212667917189346,0.002195249010725354,0.004299456048528271,0.002170537155546301,0.0026208206272107957,0.0020656788184336846,0.002081389676008284,0.002144011699747658,0.0021866784915413155,0.0018984418218058229,0.0021471130544965166,0.05913738901931601,0.27909071918867695,0.0191376513317341,0.27248226581262724,0.0022527902043329388,0.0020564546515001274,0.0023333394963708483,0.002150719438542144
-88.156,30.324,0.003283209091471208,0.003821918538207699,0.0036081301416926092,0.0035197712578566745,0.0033771075195192014,0.0030922336471961823,0.0035977485728573427,0.003590565825816011,0.0035576911586305882,0.0036466745474308597,0.004112955678860173,0.003329874692551123,0.0034637426500712873,0.0036568802545255837,0.0032048013968469643,0.003403755096181642,0.004283769032559711,0.0038848826420217566,0.0036185957641407854,0.003436753358488105,0.003159750223261624,0.0032627714132271502,0.003424134973842539,0.003911964927859381,0.003491411844582578,0.004000206380010805,0.004179807407566759,0.035953173604649724,0.11178262164992143,0.0037962574171529775,0.002983687691703386,0.003255953069182309,0.0031790726693536157,0.004017310062884481,0.0035496963526861817,0.0037581999135269228,0.0041040511405956,0.0033899287819631366,0.003372822106386705,0.0031554709696687082,0.00523827912373795,0.00350842333589812,0.003331509795335315,0.0031626000178657243,0.003208133540967271,0.003556162658347052,0.0032752311851873056,0.0033193984397488986,0.0032034922969850577,0.04899699413370016,0.17137599171676793,0.2926205787251577,0.15683789468170461,0.00407740795010423,0.0035607286923609134,0.003817200239617065,0.00369061999956317
-88.063,30.615,0.0019043132235938597,0.0022395206326944173,0.002123059016744952,0.0022616530347751014,0.002354193622885842,0.0020810428602707725,0.002287910869419539,0.0022517870269525733,0.002236389343951747,0.002150703297292184,0.002943168544004079,0.0023673033015505465,0.002566917629933301,0.001981163666444987,0.0022290973080243567,0.0023627714996847433,0.003911094559945473,0.003099698534039069,0.002163081942189494,0.0023242556356388965,0.002303431951721688,0.0021000619587600387,0.0022245664184434135,0.0029272673449145066,0.0022472042937660285,0.002345672556529507,0.0031658242724333222,0.05516646311244923,0.1586783110501913,0.0035204180786532896,0.002016822572965432,0.0022676838629798377,0.0022499668741101254,0.0030861036670862983,0.0021328626255119635,0.002211484301664295,0.002500481184772271,0.0022819262006873488,0.0022084064181529745,0.0021770627321076744,0.0030507153231172147,0.0022956061502651132,0.002519863302954037,0.002167787959123803,0.002258230771983775,0.002421109953833005,0.0022359491247416073,0.0020828321144088268,0.002077332760179012,0.02850427732626142,0.21846496308104377,0.2060865660126657,0.2110762302196044,0.002216145721071458,0.0021667705673223945,0.0023890280131446742,0.002335444570343194
-88.031,30.679,0.0017706881838470431,0.002013046920530375,0.0018932956073501599,0.002088294082347891,0.002102616744907636,0.001771758381065282,0.001934864181542922,0.00197276565553489,0.0019518248220724724,0.001973178037775987,0.002812466399514867,0.0019486509736284345,0.002233284023026705,0.001932957729428118,0.0019030067460842285,0.002016332517484843,0.0037300981154211993,0.00290180923966773,0.0020618084327871395,0.002055992795112904,0.0019848945160387175,0.0018941371606050808,0.0020341564950240713,0.002333021294412368,0.0019032666414449942,0.002050222555890953,0.0028325026880052237,0.052335213816310684,0.12161732558777615,0.0035688531430086066,0.0018766615585740429,0.002260506542366172,0.002227280631178506,0.003102840290496182,0.0019888552126062966,0.002051400219744204,0.0023986162522788806,0.002037640779518504,0.002075414147043459,0.001870374044354359,0.002593512293829263,0.0020653623595957367,0.0023449096549419783,0.0019421349520406855,0.002052901222707574,0.00223752482996071,0.002061304055939169,0.0018885960433923604,0.0019217928045387974,0.013654831225998818,0.15555505132028677,0.3580631782005466,0.18758099829990452,0.0020784865741992047,0.0019129848327842057,0.002108349534612307,0.0024261586289129247
-88.443,30.329,0.00232175630573441,0.0030241854644530923,0.0023050589647725566,0.0021750236711918867,0.002789625777230648,0.002724901504896522,0.002526343386709537,0.0025034539004772554,0.0024588096106482856,0.0027412498627008967,0.002710641098455359,0.0026251273988408008,0.004418764835997255,0.0023466534828268833,0.0023065806484205242,0.0033462895085125616,0.003699532682786003,0.003451489651192154,0.0019856105397014594,0.0037967128989542507,0.003455307194574457,0.0032352912828555536,0.002953960439717331,0.002635485724740015,0.0024664835712066677,0.0021957793057327396,0.00319783441264234,0.03677622779330509,0.09177809177491764,0.0043484874868368086,0.0020658883937003016,0.002590452020418298,0.002138979956620972,0.0029628214081522104,0.0025980719994271434,0.0023595213004690033,0.002106399955021997,0.002660156004299963,0.0024531793799923603,0.002191047784533175,0.004748053250658482,0.0023334840581591197,0.0022756192739724276,0.002642370277222602,0.0024973130091395877,0.002310118144237208,0.002375233608535258,0.0021011123989127622,0.0020885626238958737,0.047403626134246576,0.12138107227102074,0.5439659524506937,0.017571417543875936,0.002518751670352479,0.0028213770709419935,0.002498601820879901,0.005040056009588843
