mean_test_score,n_estimators,min_samples_split,max_depth,max_features
-64.40470683194201,400,2,35,32
-64.40470683194201,400,2,37,32
-64.40470683194201,400,2,33,32
-64.40470683194201,400,2,40,32
-64.40883004711566,400,2,30,32
-64.42522936023707,410,2,40,32
-64.42522936023707,410,2,35,32
-64.42522936023707,410,2,37,32
-64.42522936023707,410,2,33,32
-64.42930781068536,410,2,30,32
-64.47036731993197,420,2,35,32
-64.47036731993197,420,2,37,32
-64.47036731993197,420,2,40,32
-64.47036731993197,420,2,33,32
-64.47430250737244,420,2,30,32
-64.49849515582632,450,2,35,32
-64.49849515582632,450,2,40,32
-64.49849515582632,450,2,37,32
-64.49849515582632,450,2,33,32
-64.50204122250953,450,2,30,32
-64.51972246813895,430,2,33,32
-64.51972246813895,430,2,37,32
-64.51972246813895,430,2,35,32
-64.51972246813895,430,2,40,32
-64.523630902536,430,2,30,32
-64.97860626247723,410,2,30,35
-64.97950690286316,410,2,35,35
-64.97950690286316,410,2,37,35
-64.97950690286316,410,2,33,35
-64.97950690286316,410,2,40,35
-65.00543065987651,400,2,30,35
-65.00614466673738,400,2,35,35
-65.00614466673738,400,2,37,35
-65.00614466673738,400,2,33,35
-65.00614466673738,400,2,40,35
-65.00808265761125,420,2,30,35
-65.00893590489966,420,2,33,35
-65.00893590489966,420,2,40,35
-65.00893590489966,420,2,37,35
-65.00893590489966,420,2,35,35
-65.0233273691438,430,2,30,35
-65.02407156528828,430,2,40,35
-65.02407156528828,430,2,35,35
-65.02407156528828,430,2,37,35
-65.02407156528828,430,2,33,35
-65.03928102343677,450,2,30,35
-65.03998791568327,450,2,35,35
-65.03998791568327,450,2,37,35
-65.03998791568327,450,2,33,35
-65.03998791568327,450,2,40,35
-65.32066976021447,420,2,30,37
-65.33000840695853,420,2,37,37
-65.33000840695853,420,2,40,37
-65.33000840695853,420,2,35,37
-65.33000840695853,420,2,33,37
-65.33314120917733,430,2,30,37
-65.34229192855837,430,2,37,37
-65.34229192855837,430,2,40,37
-65.34229192855837,430,2,35,37
-65.34229192855837,430,2,33,37
-65.34975443446896,410,2,30,37
-65.35207613486568,400,2,30,37
-65.35928814791627,410,2,40,37
-65.35928814791627,410,2,35,37
-65.35928814791627,410,2,37,37
-65.35928814791627,410,2,33,37
-65.36182626095366,400,2,35,37
-65.36182626095366,400,2,40,37
-65.36182626095366,400,2,37,37
-65.36182626095366,400,2,33,37
-65.44843001501434,450,2,30,37
-65.45718238594324,450,2,33,37
-65.45718238594324,450,2,40,37
-65.45718238594324,450,2,37,37
-65.45718238594324,450,2,35,37
-65.93667937504605,420,2,30,40
-65.93669361809361,420,2,35,40
-65.93669361809361,420,2,37,40
-65.93669361809361,420,2,40,40
-65.93669361809361,420,2,33,40
-65.957828122703,430,2,37,40
-65.957828122703,430,2,40,40
-65.957828122703,430,2,35,40
-65.957828122703,430,2,33,40
-65.95885622900988,430,2,30,40
-65.96264689017879,450,2,37,40
-65.96264689017879,450,2,33,40
-65.96264689017879,450,2,40,40
-65.96264689017879,450,2,35,40
-65.96275474003474,410,2,30,40
-65.96278160230754,410,2,35,40
-65.96278160230754,410,2,37,40
-65.96278160230754,410,2,40,40
-65.96278160230754,410,2,33,40
-65.96358567603033,450,2,30,40
-65.9967792102763,400,2,30,40
-65.99681264984541,400,2,40,40
-65.99681264984541,400,2,35,40
-65.99681264984541,400,2,33,40
-65.99681264984541,400,2,37,40
-66.24635166606308,410,2,30,42
-66.25333638642019,410,2,37,42
-66.25333638642019,410,2,33,42
-66.25333638642019,410,2,40,42
-66.25333638642019,410,2,35,42
-66.27558776924978,450,2,30,42
-66.27592318758586,400,2,30,42
-66.28191682366666,450,2,33,42
-66.28191682366666,450,2,37,42
-66.28191682366666,450,2,35,42
-66.28191682366666,450,2,40,42
-66.28307318441271,400,2,37,42
-66.28307318441271,400,2,35,42
-66.28307318441271,400,2,33,42
-66.28307318441271,400,2,40,42
-66.29735795109876,420,2,30,42
-66.30419095506628,420,2,37,42
-66.30419095506628,420,2,35,42
-66.30419095506628,420,2,33,42
-66.30419095506628,420,2,40,42
-66.31773382883848,430,2,30,42
-66.3243974873585,430,2,33,42
-66.3243974873585,430,2,37,42
-66.3243974873585,430,2,40,42
-66.3243974873585,430,2,35,42
