mean_test_score,n_estimators,min_samples_split,max_depth,max_features
-355.182290987097,420,2,35,35
-355.182290987097,420,2,37,35
-355.182290987097,420,2,40,35
-355.182290987097,420,2,33,35
-355.20349260207996,420,2,30,35
-355.27100624598245,450,2,30,32
-355.27153089542765,450,2,35,32
-355.27153089542765,450,2,40,32
-355.27153089542765,450,2,37,32
-355.27153089542765,450,2,33,32
-355.2993719056898,450,2,40,35
-355.2993719056898,450,2,37,35
-355.2993719056898,450,2,35,35
-355.2993719056898,450,2,33,35
-355.31074097347283,410,2,37,35
-355.31074097347283,410,2,40,35
-355.31074097347283,410,2,33,35
-355.31074097347283,410,2,35,35
-355.3190248142872,450,2,30,35
-355.33236659996606,410,2,30,35
-355.38764831052754,430,2,33,35
-355.38764831052754,430,2,37,35
-355.38764831052754,430,2,40,35
-355.38764831052754,430,2,35,35
-355.4084418230295,430,2,30,35
-355.44903015574374,430,2,30,32
-355.4495587088424,430,2,35,32
-355.4495587088424,430,2,33,32
-355.4495587088424,430,2,40,32
-355.4495587088424,430,2,37,32
-355.4714057435021,400,2,33,35
-355.4714057435021,400,2,37,35
-355.4714057435021,400,2,40,35
-355.4714057435021,400,2,35,35
-355.4938174339401,400,2,30,35
-355.50985083375537,450,2,30,37
-355.51365454945216,450,2,37,37
-355.51365454945216,450,2,33,37
-355.51365454945216,450,2,35,37
-355.51365454945216,450,2,40,37
-355.51604232594764,420,2,30,32
-355.5165322967468,420,2,40,32
-355.5165322967468,420,2,35,32
-355.5165322967468,420,2,33,32
-355.5165322967468,420,2,37,32
-355.5437590547023,420,2,30,37
-355.54738963356897,420,2,35,37
-355.54738963356897,420,2,37,37
-355.54738963356897,420,2,33,37
-355.54738963356897,420,2,40,37
-355.55367490334004,430,2,30,37
-355.5573317494945,430,2,35,37
-355.5573317494945,430,2,37,37
-355.5573317494945,430,2,33,37
-355.5573317494945,430,2,40,37
-355.56756294829944,410,2,30,37
-355.57110043390173,410,2,33,37
-355.57110043390173,410,2,37,37
-355.57110043390173,410,2,40,37
-355.57110043390173,410,2,35,37
-355.6838067977897,400,2,30,37
-355.6870177787526,400,2,37,37
-355.6870177787526,400,2,40,37
-355.6870177787526,400,2,35,37
-355.6870177787526,400,2,33,37
-355.8279871238566,410,2,30,32
-355.82871851465706,410,2,33,32
-355.82871851465706,410,2,37,32
-355.82871851465706,410,2,40,32
-355.82871851465706,410,2,35,32
-355.971717596911,400,2,30,32
-355.9721942231227,400,2,40,32
-355.9721942231227,400,2,37,32
-355.9721942231227,400,2,35,32
-355.9721942231227,400,2,33,32
-356.6995372899378,430,2,37,40
-356.6995372899378,430,2,35,40
-356.6995372899378,430,2,40,40
-356.6995372899378,430,2,30,40
-356.6995372899378,430,2,33,40
-356.73396672821093,450,2,33,40
-356.73396672821093,450,2,37,40
-356.73396672821093,450,2,35,40
-356.73396672821093,450,2,30,40
-356.73396672821093,450,2,40,40
-356.79615493808905,420,2,40,40
-356.79615493808905,420,2,37,40
-356.79615493808905,420,2,33,40
-356.79615493808905,420,2,30,40
-356.79615493808905,420,2,35,40
-356.8295188281396,420,2,33,42
-356.8295188281396,420,2,40,42
-356.8295188281396,420,2,30,42
-356.8295188281396,420,2,37,42
-356.8295188281396,420,2,35,42
-356.8433978493884,430,2,33,42
-356.8433978493884,430,2,40,42
-356.8433978493884,430,2,30,42
-356.8433978493884,430,2,35,42
-356.8433978493884,430,2,37,42
-356.85919862233413,410,2,40,42
-356.85919862233413,410,2,30,42
-356.85919862233413,410,2,35,42
-356.85919862233413,410,2,37,42
-356.85919862233413,410,2,33,42
-356.9247875714612,450,2,40,42
-356.9247875714612,450,2,33,42
-356.9247875714612,450,2,35,42
-356.9247875714612,450,2,37,42
-356.9247875714612,450,2,30,42
-356.9305168601606,410,2,37,40
-356.9305168601606,410,2,30,40
-356.9305168601606,410,2,33,40
-356.9305168601606,410,2,40,40
-356.9305168601606,410,2,35,40
-356.9949400915553,400,2,37,42
-356.9949400915553,400,2,30,42
-356.9949400915553,400,2,40,42
-356.9949400915553,400,2,33,42
-356.9949400915553,400,2,35,42
-357.05118666474925,400,2,33,40
-357.05118666474925,400,2,35,40
-357.05118666474925,400,2,40,40
-357.05118666474925,400,2,37,40
-357.05118666474925,400,2,30,40
