Feature,Importance
antarctic_temp_threshold,0.3672448647341147
movefactor_s,0.3490439997216031
climate_sensitivity,0.17376032871742458
rf_scale_aerosol,0.10194607860562876
temperature_0,0.003254790990421298
antarctic_lambda,0.002844150127910546
ocean_heat_0,0.0003758413671048462
thermal_alpha,0.0002516864053331969
CO2_0,0.00015049946018827956
glaciers_beta0,0.0001461453842762369
antarctic_nu,0.00014193281539731913
heat_diffusivity,0.00013544985630871694
dvbm_s,9.900138149209342e-05
sd_ocean_heat,8.791935808951935e-05
antarctic_alpha,7.961308776172016e-05
thermal_s0,7.359085970525938e-05
rho_gmsl,7.192917107482764e-05
antarctic_mu,6.957379038222574e-05
rho_antarctic,5.247182355927177e-05
greenland_v0,4.573590950321363e-05
antarctic_s0,4.2484384910162366e-05
rho_greenland,4.125972848812336e-05
greenland_beta,4.065231932196571e-05
sd_antarctic,0.0
glaciers_v0,0.0
sd_glaciers,0.0
sd_greenland,0.0
rho_glaciers,0.0
sd_gmsl,0.0
sigma_whitenoise_co2,0.0
rho_temperature,0.0
rho_ocean_heat,0.0
alpha0_CO2,0.0
glaciers_s0,0.0
N2O_0,0.0
wvpdl_s,0.0
Q10,0.0
antarctic_precip0,0.0
vslmult_s,0.0
vslel_s,0.0
antarctic_slope,0.0
antarctic_bed_height0,0.0
antarctic_c,0.0
antarctic_runoff_height0,0.0
antarctic_flow0,0.0
antarctic_kappa,0.0
antarctic_gamma,0.0
CO2_fertilization,0.0
anto_beta,0.0
anto_alpha,0.0
glaciers_n,0.0
greenland_alpha,0.0
greenland_b,0.0
greenland_a,0.0
wvel_s,0.0
CO2_diffusivity,0.0
sd_temp,0.0
