Feature,Importance
movefactor_s,0.6883588859378175
antarctic_temp_threshold,0.1266224945365667
rf_scale_aerosol,0.08657180293596115
climate_sensitivity,0.057272422580944546
antarctic_lambda,0.013298540907455124
dvbm_s,0.008533277365976089
thermal_s0,0.0032669378609245393
temperature_0,0.003215775284903374
antarctic_gamma,0.0009419948099043441
N2O_0,0.0007781836843004152
antarctic_mu,0.0007712705800165667
antarctic_precip0,0.0005562175926410081
rho_greenland,0.0005131928620825723
sd_ocean_heat,0.000490783761857769
antarctic_bed_height0,0.0004722169220818174
wvel_s,0.0004633908875338191
sd_temp,0.00045534395984391115
alpha0_CO2,0.0004172288022831123
CO2_0,0.0003926024864731717
antarctic_flow0,0.0003692095993635767
rho_antarctic,0.0003634360968984728
anto_alpha,0.00033711168761799674
antarctic_nu,0.0003141510485541951
rho_gmsl,0.0002991182103155932
greenland_b,0.0002955988765617151
vslel_s,0.0002918813381640695
glaciers_v0,0.000272954391959356
CO2_diffusivity,0.00027171972687612496
ocean_heat_0,0.00027071716673043953
greenland_a,0.00023583932594178824
rho_ocean_heat,0.00022627180874597457
glaciers_beta0,0.00022573143536184717
heat_diffusivity,0.00021610608282165126
antarctic_slope,0.00021532615475206753
thermal_alpha,0.00021506784514324826
sd_antarctic,0.00020184747952826666
greenland_beta,0.00018458697818880118
antarctic_alpha,0.00018397479718081149
antarctic_c,0.00017894663363497872
sd_gmsl,0.00017397667938978602
CO2_fertilization,0.0001698310233538146
antarctic_s0,0.00015485863946272115
greenland_alpha,0.00015045116490525188
antarctic_runoff_height0,0.0001294812349763552
greenland_v0,0.0001277175282291558
sigma_whitenoise_co2,0.00010459085371515921
anto_beta,6.289279756861637e-05
rho_temperature,6.1517579108513e-05
wvpdl_s,5.804538832169781e-05
rho_glaciers,5.8035325075843396e-05
vslmult_s,4.926718792379565e-05
glaciers_s0,4.275871350281923e-05
antarctic_kappa,3.1437759009871885e-05
sd_glaciers,3.1067800954108457e-05
Q10,2.4479622933183976e-05
sd_greenland,7.430257660901483e-06
glaciers_n,0.0
