Feature,Importance
dvbm_s,0.7611948618445636
movefactor_s,0.060800687525719536
rf_scale_aerosol,0.03602605518379223
climate_sensitivity,0.01681692709687648
antarctic_temp_threshold,0.014591630979164662
thermal_alpha,0.013818736426270626
greenland_beta,0.0035720374822847895
sd_antarctic,0.003436982955407375
antarctic_precip0,0.0032371025506527347
temperature_0,0.003160872243205706
wvpdl_s,0.0029014835192248075
heat_diffusivity,0.0027102440269914734
greenland_b,0.0024967815261655686
anto_alpha,0.0022704459478745304
rho_gmsl,0.0022525971915164067
ocean_heat_0,0.0021373466593463328
greenland_alpha,0.0021268707902703248
glaciers_n,0.0020723427214709815
rho_greenland,0.0020682426864489247
glaciers_beta0,0.002010817960167977
rho_antarctic,0.0019581731491534085
antarctic_slope,0.0019275623756622206
antarctic_nu,0.0019244425068668089
thermal_s0,0.0019110365405697756
vslmult_s,0.0018921522311737557
antarctic_runoff_height0,0.0018621957514590793
rho_glaciers,0.0018530551542370053
antarctic_mu,0.0018123114822364427
antarctic_kappa,0.0017828711931678687
antarctic_c,0.00173323476988069
antarctic_flow0,0.0017324798174187753
CO2_fertilization,0.0017058411268531003
sd_ocean_heat,0.0016879192800720068
vslel_s,0.001670995662658604
N2O_0,0.0016124322554184598
rho_ocean_heat,0.0015935479577671083
Q10,0.001588622205270839
rho_temperature,0.001564990908623421
sd_glaciers,0.001558831186578521
sd_temp,0.0015547728413951968
CO2_diffusivity,0.0015511641996561207
greenland_a,0.0015508151410677632
antarctic_gamma,0.0015425219843625167
glaciers_v0,0.0015373458968664143
CO2_0,0.0015342864230689806
antarctic_lambda,0.0015327257601426756
alpha0_CO2,0.0015173392732287822
greenland_v0,0.001492710507539939
sigma_whitenoise_co2,0.0014899053008515513
glaciers_s0,0.001481281902322117
antarctic_bed_height0,0.0014760414827333101
sd_greenland,0.0014758513040794776
antarctic_alpha,0.001470902526370083
sd_gmsl,0.0014591766720605435
antarctic_s0,0.0014510562598703883
anto_beta,0.0014123413561459611
wvel_s,0.0013939982957552571
