mean_test_score,n_estimators,min_samples_split,max_depth,bootstrap
0.7593519620626888,270,4,40,False
0.7593519620626888,270,4,60,False
0.7593519620626888,270,4,90,False
0.7593519620626888,270,4,80,False
0.7593519620626888,270,4,70,False
0.7593519620626888,270,4,100,False
0.7593519620626888,270,4,50,False
0.7593131395959571,300,4,90,False
0.7593131395959571,300,4,80,False
0.7593131395959571,300,4,60,False
0.7593131395959571,300,4,50,False
0.7593131395959571,300,4,100,False
0.7593131395959571,300,4,70,False
0.7593131395959571,300,4,40,False
0.7591486467479875,300,4,30,False
0.7590570395708294,270,4,30,False
0.7586843988325209,270,2,20,False
0.7586544809545724,255,4,60,False
0.7586544809545724,255,4,50,False
0.7586544809545724,255,4,100,False
0.7586544809545724,255,4,80,False
0.7586544809545724,255,4,40,False
0.7586544809545724,255,4,90,False
0.7586544809545724,255,4,70,False
0.7586112890764907,255,2,20,False
0.7584468833245293,300,2,20,False
0.7584155654229392,270,2,30,False
0.7583893522622155,300,4,20,False
0.7583825866624992,255,4,30,False
0.7583748277484401,270,4,20,False
0.7583158158269526,270,2,80,False
0.7583158158269526,270,2,100,False
0.7583158158269526,270,2,70,False
0.7583158158269526,270,2,40,False
0.7583158158269526,270,2,50,False
0.7583158158269526,270,2,90,False
0.7583158158269526,270,2,60,False
0.7582784147344668,160,2,90,False
0.7582784147344668,160,2,40,False
0.7582784147344668,160,2,100,False
0.7582784147344668,160,2,80,False
0.7582784147344668,160,2,60,False
0.7582784147344668,160,2,70,False
0.7582784147344668,160,2,50,False
0.7582213664940902,160,2,30,False
0.7581458578629559,230,2,20,False
0.758004338153963,160,4,60,False
0.758004338153963,160,4,70,False
0.758004338153963,160,4,40,False
0.758004338153963,160,4,100,False
0.758004338153963,160,4,80,False
0.758004338153963,160,4,90,False
0.758004338153963,160,4,50,False
0.7579966958205548,300,2,30,False
0.7579233985266579,300,2,50,False
0.7579233985266579,300,2,60,False
0.7579233985266579,300,2,90,False
0.7579233985266579,300,2,40,False
0.7579233985266579,300,2,100,False
0.7579233985266579,300,2,70,False
0.7579233985266579,300,2,80,False
0.7579030809869866,255,2,50,False
0.7579030809869866,255,2,70,False
0.7579030809869866,255,2,80,False
0.7579030809869866,255,2,100,False
0.7579030809869866,255,2,90,False
0.7579030809869866,255,2,60,False
0.7579030809869866,255,2,40,False
0.7578728811821764,170,2,30,False
0.7578541305042945,255,2,30,False
0.7577989455109297,170,2,60,False
