mean_test_score,n_estimators,min_samples_split,max_depth,bootstrap
0.7682101110524236,350,2,25,False
0.7680203762962796,350,2,30,False
0.7675040396697335,255,2,30,False
0.7674974793070706,350,2,35,False
0.7673721179411988,350,2,45,False
0.7673721179411988,350,2,55,False
0.7673721179411988,350,2,60,False
0.7673721179411988,350,2,40,False
0.7673721179411988,350,2,50,False
0.7673618924866815,255,2,35,False
0.7673198594925859,270,2,30,False
0.7673000090744005,255,2,50,False
0.7673000090744005,255,2,55,False
0.7673000090744005,255,2,40,False
0.7673000090744005,255,2,45,False
0.7673000090744005,255,2,60,False
0.7672994866207415,270,2,25,False
0.7672983963823408,300,2,25,False
0.767294463224409,325,2,25,False
0.7671730151282501,270,2,35,False
0.7671618168300944,325,2,30,False
0.7671199847930513,270,2,50,False
0.7671199847930513,270,2,45,False
0.7671199847930513,270,2,40,False
0.7671199847930513,270,2,60,False
0.7671199847930513,270,2,55,False
0.767072295202789,255,2,25,False
0.7670524900476605,300,2,30,False
0.7668729564561705,325,2,35,False
0.7667577962141625,325,2,40,False
0.7667577962141625,325,2,55,False
0.7667577962141625,325,2,50,False
0.7667577962141625,325,2,60,False
0.7667577962141625,325,2,45,False
0.7667172603744394,300,2,35,False
0.7666310197783249,160,2,60,False
0.7666310197783249,160,2,40,False
0.7666310197783249,160,2,45,False
0.7666310197783249,160,2,55,False
0.7666310197783249,160,2,50,False
0.7666201557069865,160,2,30,False
0.7665853039248542,300,2,50,False
0.7665853039248542,300,2,45,False
0.7665853039248542,300,2,40,False
0.7665853039248542,300,2,55,False
0.7665853039248542,300,2,60,False
0.7665757992724886,230,2,30,False
0.7665027276347756,255,6,30,False
0.7664833290633407,160,2,35,False
0.7664635908565358,140,2,30,False
0.7664306566568221,255,2,20,False
0.76636494830655,270,2,20,False
0.7663433571741556,350,2,20,False
0.7663384792630336,160,2,25,False
0.7663235781946355,230,2,45,False
0.7663235781946355,230,2,60,False
0.7663235781946355,230,2,50,False
0.7663235781946355,230,2,55,False
0.7663235781946355,230,2,40,False
0.766313654681395,255,6,40,False
0.766313654681395,255,6,45,False
0.766313654681395,255,6,50,False
0.766313654681395,255,6,60,False
0.766313654681395,255,6,55,False
0.7663135430478913,255,6,35,False
0.7663046063846737,230,2,35,False
0.7662806896904052,140,2,40,False
0.7662806896904052,140,2,50,False
0.7662806896904052,140,2,55,False
0.7662806896904052,140,2,60,False
0.7662806896904052,140,2,45,False
0.7662806431451126,350,6,30,False
0.7662771175724801,150,2,30,False
0.7662113119917203,160,2,20,False
0.766192760369343,140,2,20,False
0.7661397203757956,150,2,50,False
0.7661397203757956,150,2,60,False
0.7661397203757956,150,2,40,False
0.7661397203757956,150,2,55,False
0.7661397203757956,150,2,45,False
0.766138235743762,270,6,30,False
0.7661345101265271,140,2,35,False
0.7661212057952376,350,6,45,False
0.7661212057952376,350,6,50,False
0.7661212057952376,350,6,60,False
0.7661212057952376,350,6,40,False
0.7661212057952376,350,6,55,False
0.7661211502489178,350,6,35,False
0.7660858756835708,200,2,30,False
0.7660576293479197,350,6,25,False
0.7660182051618463,270,6,55,False
0.7660182051618463,270,6,40,False
0.7660182051618463,270,6,45,False
0.7660182051618463,270,6,60,False
0.7660182051618463,270,6,50,False
0.7660181063490388,270,6,35,False
0.765996887508124,170,2,30,False
0.7659807917167504,150,2,35,False
0.7659738612354994,200,2,60,False
0.7659738612354994,200,2,40,False
0.7659738612354994,200,2,50,False
0.7659738612354994,200,2,55,False
0.7659738612354994,200,2,45,False
0.7659724640888987,200,2,35,False
0.7659643859887183,300,2,20,False
0.7658763076629345,140,2,25,False
0.7658343577431835,230,2,25,False
0.7657914203332237,325,6,30,False
0.7657795777406922,150,2,20,False
0.7657657216759147,325,2,20,False
0.7657491937490088,170,2,60,False
0.7657491937490088,170,2,55,False
0.7657491937490088,170,2,45,False
0.7657491937490088,170,2,50,False
0.7657491937490088,170,2,40,False
0.7656938020541518,180,2,30,False
0.7656382794977663,255,6,25,False
0.7656286936157052,325,6,60,False
0.7656286936157052,325,6,45,False
0.7656286936157052,325,6,50,False
0.7656286936157052,325,6,40,False
0.7656286936157052,325,6,55,False
0.7656286062767459,325,6,35,False
0.7656079502605583,170,2,35,False
0.7655666768582519,300,6,30,False
0.7655598890341742,270,6,25,False
0.7655273914117293,180,2,60,False
0.7655273914117293,180,2,40,False
0.7655273914117293,180,2,45,False
0.7655273914117293,180,2,55,False
0.7655273914117293,180,2,50,False
0.7654993783844362,325,6,25,False
0.7654919830884263,230,6,30,False
0.7654691498294953,170,2,25,False
0.7654490169302626,150,2,25,False
0.7654481482769361,180,2,35,False
0.765411055502582,230,6,55,False
0.765411055502582,230,6,40,False
0.765411055502582,230,6,45,False
0.765411055502582,230,6,60,False
0.765411055502582,230,6,50,False
0.7654108731886288,230,6,35,False
0.765362447107087,300,6,45,False
0.765362447107087,300,6,60,False
0.765362447107087,300,6,55,False
0.765362447107087,300,6,40,False
0.765362447107087,300,6,50,False
0.7653623370085427,300,6,35,False
0.7652231596567065,230,2,20,False
0.7651711165246373,200,2,25,False
0.7651520189077571,300,6,25,False
0.7650751096701282,170,2,20,False
0.7650127561008332,160,6,30,False
0.7650073695418271,350,6,20,False
0.7649584733392463,230,6,25,False
0.7649158138518622,270,6,20,False
0.7647897891166352,200,2,20,False
0.7647566226648995,160,6,45,False
0.7647566226648995,160,6,55,False
0.7647566226648995,160,6,35,False
0.7647566226648995,160,6,60,False
0.7647566226648995,160,6,40,False
0.7647566226648995,160,6,50,False
0.7647372447163157,200,6,30,False
0.7646915880212186,160,6,25,False
0.7646672698704545,200,6,60,False
0.7646672698704545,200,6,55,False
0.7646672698704545,200,6,40,False
0.7646672698704545,200,6,50,False
0.7646672698704545,200,6,45,False
0.7646670579239336,200,6,35,False
0.764652956520579,300,6,20,False
0.7646341079536014,350,10,25,False
0.7646293646984591,180,2,20,False
0.7646178437795206,180,2,25,False
0.7645962907482698,150,6,30,False
0.7645412227769652,170,6,30,False
0.764441900122605,170,6,25,False
0.7643847178320491,160,10,30,False
0.7643484310053633,150,6,60,False
0.7643484310053633,150,6,55,False
0.7643484310053633,150,6,35,False
0.7643484310053633,150,6,45,False
0.7643484310053633,150,6,50,False
0.7643484310053633,150,6,40,False
0.7643468556242852,350,10,30,False
0.7643444277824132,325,6,20,False
0.7643433486033615,255,6,20,False
0.7643042203325757,170,6,55,False
0.7643042203325757,170,6,40,False
0.7643042203325757,170,6,35,False
0.7643042203325757,170,6,60,False
0.7643042203325757,170,6,50,False
0.7643042203325757,170,6,45,False
0.7642718716770043,350,10,20,False
0.7642291732744825,150,6,25,False
0.7642059128489274,350,10,60,False
0.7642059128489274,350,10,35,False
0.7642059128489274,350,10,55,False
0.7642059128489274,350,10,45,False
0.7642059128489274,350,10,50,False
0.7642059128489274,350,10,40,False
0.7641471674589301,140,6,30,False
0.7641371174394365,200,6,25,False
0.7640592743119,140,6,25,False
0.7640184376687205,180,6,30,False
0.7640091300263749,160,10,50,False
0.7640091300263749,160,10,60,False
0.7640091300263749,160,10,45,False
0.7640091300263749,160,10,55,False
0.7640091300263749,160,10,35,False
0.7640091300263749,160,10,40,False
0.7639286682996523,160,10,20,False
0.7639001928566618,140,10,30,False
0.7638790524422745,325,10,25,False
0.7638592023566557,180,6,45,False
0.7638592023566557,180,6,50,False
0.7638592023566557,180,6,60,False
0.7638592023566557,180,6,55,False
0.7638592023566557,180,6,40,False
0.7638592023566557,180,6,35,False
0.7638407716583584,270,10,25,False
0.7638126741735402,140,6,50,False
0.7638126741735402,140,6,35,False
0.7638126741735402,140,6,45,False
0.7638126741735402,140,6,55,False
0.7638126741735402,140,6,60,False
0.7638126741735402,140,6,40,False
0.7637076334437236,150,10,20,False
0.7636940708535958,270,10,30,False
0.7636823511373617,325,10,30,False
0.7636768642593654,160,10,25,False
0.7636744842186189,180,6,25,False
0.7636211641455187,140,10,55,False
0.7636211641455187,140,10,45,False
0.7636211641455187,140,10,60,False
0.7636211641455187,140,10,40,False
0.7636211641455187,140,10,50,False
0.7636211641455187,140,10,35,False
0.7635136231997623,140,10,20,False
0.7635095833195263,255,10,25,False
0.7635052207959043,325,10,35,False
0.7635052207959043,325,10,40,False
0.7635052207959043,325,10,45,False
0.7635052207959043,325,10,55,False
0.7635052207959043,325,10,60,False
0.7635052207959043,325,10,50,False
0.763492880361524,270,10,35,False
0.763492880361524,270,10,45,False
0.763492880361524,270,10,40,False
0.763492880361524,270,10,60,False
0.763492880361524,270,10,55,False
0.763492880361524,270,10,50,False
0.7634621524632803,150,10,30,False
0.7634152871773499,140,6,20,False
0.7634106104829048,325,10,20,False
0.7633716079070294,255,10,30,False
0.7633219467792235,140,10,25,False
0.763297670530438,230,6,20,False
0.7632368650493287,170,10,30,False
0.7632231368519615,150,10,60,False
0.7632231368519615,150,10,45,False
0.7632231368519615,150,10,40,False
0.7632231368519615,150,10,50,False
0.7632231368519615,150,10,55,False
0.7632231368519615,150,10,35,False
0.7632021307796036,300,10,25,False
0.7631974182770982,170,10,20,False
0.7631844972890914,255,10,60,False
0.7631844972890914,255,10,40,False
0.7631844972890914,255,10,45,False
0.7631844972890914,255,10,50,False
0.7631844972890914,255,10,35,False
0.7631844972890914,255,10,55,False
0.7630898579299235,300,10,30,False
0.7630220098802163,150,10,25,False
0.7629545135148822,300,10,40,False
0.7629545135148822,300,10,55,False
0.7629545135148822,300,10,45,False
0.7629545135148822,300,10,35,False
0.7629545135148822,300,10,50,False
0.7629545135148822,300,10,60,False
0.7629534252769996,255,10,20,False
0.7629512911730556,230,10,25,False
0.7629093701280055,170,10,25,False
0.7628394750764927,170,10,50,False
0.7628394750764927,170,10,40,False
0.7628394750764927,170,10,45,False
0.7628394750764927,170,10,35,False
0.7628394750764927,170,10,55,False
0.7628394750764927,170,10,60,False
0.7628307870281548,300,10,20,False
0.7627426112542598,230,10,30,False
0.7627301256382115,150,6,20,False
0.7626909378858603,270,10,20,False
0.7626497917327846,180,10,30,False
0.7625503408133157,230,10,20,False
0.7625241412674794,230,10,55,False
0.7625241412674794,230,10,40,False
0.7625241412674794,230,10,45,False
0.7625241412674794,230,10,50,False
0.7625241412674794,230,10,60,False
0.7625241412674794,230,10,35,False
0.762513114853739,180,10,20,False
0.7623718037301569,180,10,60,False
0.7623718037301569,180,10,50,False
0.7623718037301569,180,10,40,False
0.7623718037301569,180,10,55,False
0.7623718037301569,180,10,35,False
0.7623718037301569,180,10,45,False
0.7623697721839002,200,10,20,False
0.7623619787603584,200,10,30,False
0.762301895698359,180,10,25,False
0.7622621399624672,160,6,20,False
0.7622467932864463,200,6,20,False
0.7621155044764257,200,10,55,False
0.7621155044764257,200,10,40,False
0.7621155044764257,200,10,60,False
0.7621155044764257,200,10,45,False
0.7621155044764257,200,10,35,False
0.7621155044764257,200,10,50,False
0.7619104546119567,200,10,25,False
0.7615233132258148,140,2,15,False
0.7614889426323088,350,2,15,False
0.761324487261603,180,6,20,False
0.7613051850435077,170,6,20,False
0.7611976275730934,270,6,15,False
0.7609676238648435,270,2,15,False
0.7608473959096653,160,6,15,False
0.7608389582810087,160,2,15,False
0.7608365299618912,255,2,15,False
0.7608146994555529,325,2,15,False
0.760803901856699,300,2,15,False
0.7607670232145147,255,6,15,False
0.760682967878155,150,2,15,False
0.7606463882883562,140,6,15,False
0.7604994310877414,350,6,15,False
0.7602466853452636,150,6,15,False
0.7602152579909983,300,6,15,False
0.7602024099619175,230,2,15,False
0.7601472090425666,170,2,15,False
0.7600378956463654,170,6,15,False
0.7599403955806059,325,6,15,False
0.759934160936179,230,6,15,False
0.7596427883446241,200,6,15,False
0.7595900001394572,180,2,15,False
0.7593749141366555,180,6,15,False
